"FA" "MA" "Math" "SCIE" "READ"
"147748" 0 0 388.15 395.506 386.854
"147749" NA 0 500.708 535.098 512.4
"147750" NA 1 434.968 441.758 478.686
"147751" 1 1 322.332 324.264 318.634
"147752" 1 1 471.264 511.04 404.896
"147753" 0 1 588.806 597.67 577.272
"147754" 0 0 415.648 408 381.056
"147755" 0 0 561.544 576.036 510.78
"147756" NA NA 542.616 560.462 445.378
"147757" 0 0 549.628 592.074 578.624
"147758" 0 0 523.14 550.672 492.59
"147759" NA NA 567.228 562.702 484.18
"147760" 0 0 582.728 635.062 562.496
"147761" 0 0 474.85 523.816 499.66
"147762" 1 0 508.964 576.966 525.638
"147763" 0 0 517.768 564.286 507.028
"147764" 1 NA 561.466 580.886 522.74
"147765" 1 1 603.138 618.93 486.746
"147766" NA 1 538.564 578.552 482.258
"147767" 1 0 563.022 582.19 497.488
"147768" 0 1 485.91 514.306 447.862
"147769" NA NA 464.878 451.734 449.928
"147770" 1 0 500.788 528.012 465.34
"147771" 0 0 477.028 569.134 542.398
"147772" 1 1 539.422 627.786 552.962
"147773" 1 0 596.05 618.928 519.696
"147774" 0 NA 475.396 544.518 489.332
"147775" NA NA 476.874 539.762 531.832
"147776" 1 0 433.252 443.25 410.21
"147777" 0 0 481.08 492.856 443.178
"147778" NA NA 448.988 473.648 479.006
"147779" NA NA 543.008 556.36 561.144
"147780" 1 1 613.968 597.482 577.112
"147781" 1 1 526.96 508.336 493.938
"147782" 1 0 579.538 539.762 554.234
"147783" 1 0 532.1 562.61 541.364
"147784" 1 1 516.13 510.202 538.504
"147785" 1 1 597.534 566.71 549.388
"147786" 0 1 562.4 564.75 585.454
"147787" 0 0 500.63 510.482 513.084
"147788" 1 1 429.982 479.616 436.902
"147789" 0 0 521.662 511.228 473.284
"147790" 1 1 531.398 512.438 512.608
"147791" 1 1 470.408 485.022 489.332
"147792" 0 0 551.65 597.018 590.618
"147793" 0 0 567.152 623.964 593.002
"147794" 1 0 471.11 515.238 513.72
"147795" 1 1 500.942 501.624 472.492
"147796" 1 1 519.406 533.048 447.07
"147797" 1 1 504.606 494.352 475.19
"147798" 0 0 460.672 470.662 456.524
"147799" 0 0 528.126 543.118 544.146
"147800" 1 1 504.526 503.488 423.094
"147801" NA NA 612.098 629.278 531.276
"147802" 1 NA 503.356 507.964 489.886
"147803" 1 0 513.25 479.804 420.53
"147804" NA NA 587.016 536.404 438.004
"147805" 1 0 652.29 666.3 613.892
"147806" NA NA 640.918 619.862 585.374
"147807" 1 1 709.308 635.06 560.18
"147808" 0 0 606.1 593.288 592.364
"147809" NA NA 593.09 619.676 529.876
"147810" 1 1 587.094 562.516 579.258
"147811" 1 1 555.392 565.59 557.728
"147812" NA NA 585.848 511.32 430.468
"147813" 1 1 586.238 564.38 542.956
"147814" NA 1 470.562 479.618 422.528
"147815" 1 0 505.228 536.126 496.362
"147816" 1 0 543.238 545.45 527.54
"147817" 1 NA 531.71 535.286 565.594
"147818" 1 0 566.372 538.456 590.298
"147819" 0 1 585.768 568.014 569.088
"147820" NA NA 544.564 573.332 536.358
"147821" 1 1 596.206 641.682 634.628
"147822" 1 0 596.75 604.942 537.732
"147823" 0 0 596.052 601.306 581.906
"147824" NA NA 522.908 538.55 448.104
"147825" 1 0 406.068 462.364 464.548
"147826" 1 1 442.134 437.652 404.736
"147827" 0 1 378.806 443.25 427.844
"147828" 1 1 562.558 633.57 588.238
"147829" 1 0 577.822 584.428 558.576
"147830" NA 1 422.036 435.788 463.99
"147831" 0 0 487.154 468.334 446.984
"147832" 0 0 512.316 568.016 562.732
"147833" NA NA 566.918 520.738 500.454
"147834" 1 NA 534.436 550.114 491.316
"147835" 0 0 481.858 480.362 504.822
"147836" 0 0 493.934 517.1 525.55
"147837" NA NA 511.926 543.49 514.642
"147838" 1 1 575.328 583.868 561.306
"147839" 0 1 564.58 598.974 595.224
"147840" 0 0 432.162 462.552 526.35
"147841" NA NA 536.928 606.528 594.59
"147842" 1 1 529.528 578.554 620.486
"147843" 0 0 526.804 564.658 580.766
"147844" 1 1 525.324 557.198 568.434
"147845" 0 0 529.92 567.644 489.952
"147846" 1 NA 513.092 489.034 420.766
"147847" 1 1 537.162 595.618 625.016
"147848" NA NA 454.988 461.62 479.324
"147849" 0 0 403.652 494.348 549.308
"147850" 1 0 465.656 476.63 459.464
"147851" 0 1 513.482 530.53 523.862
"147852" NA NA 486.064 432.34 469.11
"147853" 0 0 457.166 477.192 425.98
"147854" 0 0 564.116 589.37 602.138
"147855" NA NA 478.43 506.472 465.902
"147856" 1 NA 586.238 565.032 550.8
"147857" 1 1 572.682 517.94 538.586
"147858" 1 1 597.688 599.628 618.896
"147859" 0 0 566.296 604.382 613.418
"147860" NA NA 565.282 540.134 543.346
"147861" 1 1 548.692 510.95 518.806
"147862" 0 0 511.38 448.472 515.548
"147863" 1 0 560.842 475.604 507.35
"147864" 1 1 561.542 514.49 576.478
"147865" 1 1 579.068 553.472 610.162
"147866" 1 1 468.536 471.968 502.2
"147867" NA NA 416.116 383.57 415.958
"147868" 1 NA 563.726 568.482 492.196
"147869" 1 1 495.724 519.34 528.834
